;available;price;name;rating;link
0;В наличии;5999;MSI GeForce 210 [N210-1GD3/LP] [PCI-E 2.0, 1 ГБ GDDR3, 64 бит, 460 МГц, HDMI, VGA (D-Sub), DVI-I];4;https://www.dns-shop.ru//product/5a7b4c6d0bc3c823/videokarta-msi-geforce-210-n210-1gd3lp/
1;В наличии;6999;PowerColor AMD Radeon R7 240 [AXR7 240 2GBD5-HLEV2] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 730 МГц - 780 МГц, DVI-D, HDMI];4,5;https://www.dns-shop.ru//product/8c12d3e82d96ed20/videokarta-powercolor-amd-radeon-r7-240-axr7-240-2gbd5-hlev2/
2;В наличии;7999;GIGABYTE GeForce GT 730 [GV-N730D3-2GI] [PCI-E 2.0, 2 ГБ GDDR3, 64 бит, 902 МГц, HDMI, VGA (D-Sub)];4;https://www.dns-shop.ru//product/34addc5349e64699/videokarta-gigabyte-geforce-gt-730-gv-n730d3-2gi/
3;В наличии;8799;ASUS GeForce GT 730 Silent LP [GT730-SL-2GD5-BRK] [PCI-E 2.0, 2 ГБ GDDR5, 64 бит, 902 МГц, HDMI, VGA (D-Sub), DVI-D];4,5;https://www.dns-shop.ru//product/6aae0cdaa22f3361/videokarta-asus-geforce-gt-730-silent-lp-gt730-sl-2gd5-brk/
4;В наличии;8799;Palit GeForce GT 1030 [NEC103000646-1082F] [PCI-E 3.0, 2 ГБ DDR4, 64 бит, 1151 МГц - 1379 МГц, HDMI, DVI-D];4;https://www.dns-shop.ru//product/dffe1d266ba03330/videokarta-palit-geforce-gt-1030-nec103000646-1082f/
5;В наличии;8999;GigaByte GeForce GT 730 LP [GV-N730D5-2GL] [PCI-E 2.0, 2 ГБ GDDR5, 64 бит, 902 МГц, HDMI, DVI-I];4,5;https://www.dns-shop.ru//product/e5fcb990de4e3330/videokarta-gigabyte-geforce-gt-730-lp-gv-n730d5-2gl/
6;В наличии;8999;KFA2 GeForce GT 730 [70NPF4HX003K] [PCI-E 2.0, 2 ГБ DDR3, 64 бит, 902 МГц, DVI-I, HDMI, VGA (D-Sub)];4,5;https://www.dns-shop.ru//product/66b8a6c73850ed20/videokarta-kfa2-geforce-gt-730-70npf4hx003k/
7;В наличии;8999;KFA2 GeForce GT 730 [70NQS4HX00WK] [PCI-E 2.0, 4 ГБ DDR3, 64 бит, 901 МГц, DVI-I, HDMI, VGA (D-Sub)];4;https://www.dns-shop.ru//product/622cfa0b428ded20/videokarta-kfa2-geforce-gt-730-70nqs4hx00wk/
8;В наличии;8999;Palit GeForce GT 730 Silent LP [NEAT7300HD46-2080H] [PCI-E 2.0, 2 ГБ GDDR3, 64 бит, 902 МГц, DVI-D, HDMI, VGA (D-Sub)];4,5;https://www.dns-shop.ru//product/73667432f7681b80/videokarta-palit-geforce-gt-730-silent-lp-neat7300hd46-2080h/
9;В наличии;8999;PowerColor AMD Radeon 550 LP [AXRX 550 2GBD5-HLEV2] [PCI-E 3.0, 2 ГБ GDDR5, 64 бит, 1100 МГц - 1071 МГц, DVI-D, HDMI];2,5;https://www.dns-shop.ru//product/48f5e3b94dc6ed20/videokarta-powercolor-amd-radeon-550-lp-axrx-550-2gbd5-hlev2/
